index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_next_quarter
3788,73090,66530,6560,35436,64577,1400,136,6007,0,8.273764,3150,9.029342,0,0,48.351348,0,-8.429878,5759,6231,1,35893,4.774391,53.564121,28403,70324,7.516903,15.2718,46,5759,1400,0,801,35,0.291658,0.237137,16.5235,3.133314,13,23,5.663696,0,22.285714,28,24214,17.395916,11.156544,35340,28,95.225609,653,3.368373,48.482693,0,0,51.593925,29429,57.129896,8,2.927313,54.725367,136,483,34984,9.860213,8.975236,11.01729,18.562535,9849,11.676647,3.383513,1
3789,78379,63787,14591,47406,63227,0,179,5479,0,4.90411,0,0.03446,0.495376,197.037037,34.430141,0,-0.897814,14138,14404,1,27252,0,42.681133,26198,60668,17.382858,38.5274,92,14138,0,135,453,92,0.582348,0.582348,39.2522,2.7525,25,57,4.772106,23,13.942308,0,28281,39.761827,1.329228,26986,0,100,548,2.031506,60.483038,0.495376,0,46.818663,41927,43.101839,11,2.300279,42.681133,179,323,33682,22.874208,18.615956,1.323617,54.068776,13830,27.636364,2.713806,1
3790,98239,83776,14463,22628,82272,1311,252,4819,0,6.866953,1505,6.726998,0,0,70.020053,0,-4.667082,14403,14403,1,69462,1.800605,82.297836,11683,90842,13.91191,0,133,14403,1311,0,60,126,0.662937,0.64035,0,3.612161,1,63,4.722019,3,0,0,27060,0,5.948402,68787,0,98.199395,718,3.085881,28.686163,0,5553,0,23362,84.629255,8,3.058047,83.609247,252,797,22055,17.263894,14.722259,5.94372,21.025775,31349,2.52324,3.231985,3
3791,93641,84545,9095,25292,84486,0,349,13870,0,15.414343,5208,3.755041,0.009177,16466.66667,68.765818,0,-10.797141,9048,9772,1,65381,6.164335,76.217361,10138,90094,9.158822,15.6822,129,9048,0,6,47,122,0.622997,0.629552,16.937,3.94621,13,49,5.325435,2,0.852273,0,30407,15.763658,3.966998,64393,0,93.835665,877,3.410679,27.009536,0.074896,0,61.614037,11422,82.470547,19,3.451578,76.217361,349,854,25701,10.757457,9.712626,3.929485,14.124206,25721,12.107623,3.547471,3
3792,102691,60815,41876,5000,5466,54628,1185,0,0,11.481585,60094,5.230205,0,0,0,0,0,41876,41876,1,0,100,0,0,0,40.778647,42.5846,66,41876,54628,0,0,0,0.45401,0,42.5846,0,0,246,0,11,-15.949119,0,0,42.584608,0,0,0,0,90395,-0.219695,4.868976,0,0,95.759122,5000,0,20,0,0,1185,0,0,68.858012,40.778647,0,0,0,100.060844,0,1
3793,98348,87724,10624,37998,87412,0,392,13264,1729,14.656945,1729,7.667718,1.151694,108.494784,58.500427,-0.080578,-0.536521,10606,11334,1,58262,1.977989,65.819338,13911,85999,9.170298,16.503,92,10606,0,671,19,91,0.438842,0.444092,17.6358,2.720846,0,29,3.723041,4,24.760077,10,15307,16.531035,-8.209955,57534,10,98.022011,959,2.184594,39.94794,1.151694,1290,65.346525,25986,67.997152,12,2.310489,65.819338,392,566,28465,12.110711,10.802457,-8.044635,18.465603,31940,45.985401,2.40933,2
3794,103289,92465,10824,54886,91665,0,174,3702,0,6.240753,0,0.862254,0.51691,250.42735,43.260173,-0.044874,-3.252033,11022,11022,1,45269,0,48.745977,46423,94808,10.09581,0,82,11022,0,234,-198,82,0.361371,0.361371,0,3.132697,1,70,6.255399,2,6.451613,0,19352,0,3.172551,44683,0,100,905,3.224191,53.138282,1.210872,0,0,47790,49.385262,22,2.85072,48.745977,174,697,50125,11.706051,10.479335,3.188967,24.223978,29655,8.901099,3.497595,2
3795,72452,66078,6375,7664,65968,9,101,4256,0,6.388362,9,1.139092,1.152077,129.901269,83.669188,-0.016427,-3.32549,6375,7121,1,61541,0.013641,91.880504,0,64876,8.13584,10.7073,67,6375,9,709,0,67,0.408319,0.408375,11.9602,5.183863,0,68,5.532649,4,17.886179,0,9053,10.707268,2.117481,60620,0,99.986359,843,4.325135,10.578038,1.449933,0,82.177166,3408,93.289171,24,4.773321,91.893039,101,842,4256,9.647689,8.798929,2.212294,10.516331,23004,14.207048,4.803009,3
3796,95117,81613,13503,36487,80923,0,157,18476,0,4.646689,0,5.311116,0.380108,118.981481,59.47307,0,-0.303636,13405,13662,1,56826,0,69.904724,17327,93491,13.253643,36.1818,104,13405,0,216,98,104,0.52968,0.52968,36.8755,3.144148,53,33,4.666444,3,30.837004,0,35303,36.446328,-0.331237,56569,0,100,668,2.877527,38.485234,0.380108,119,38.950976,18130,70.22231,14,2.740993,69.904724,157,664,36922,16.544956,14.1962,-0.319253,23.869964,25112,1.038576,2.884605,3
3797,98477,84035,14442,29151,68842,14387,353,14977,0,9.86757,16019,0.043684,0.683839,182.735426,65.401058,-0.001511,-2.555048,14213,14213,1,65220,19.246897,77.382883,12087,93505,12.255439,0,181,14213,14387,446,229,110,0.868439,0.654431,0,4.395404,38,48,5.807436,10,18.850575,0,16478,0,-2.927035,64405,0,80.753103,937,3.6646,29.601836,0.683839,0,0,14172,97.039131,14,3.737814,93.554807,353,961,29100,17.185696,14.665353,-2.891516,22.423725,25675,3.735326,3.944506,3
