index,Total_assets,Total_liabilities,Equity,Liquid_assets,Deposits_and_short-term_funding,Long-term_funding,Net_income,Interbank_assets,Interbank_liabilities,Return_on_average_equity_(ROAE),Wholesale_funding,Growth_in_total_assets,Impaired_loans_/_Gross_customer_loans_&_advances,Loan_loss_reserves_/_Impaired_loans,Customer_loans_&_advances_/_Total_assets,Net_charge_offs_(NCOs)_/_Average_gross_customer_loans_&_advances,Unreserved_impaired_loans_/_Total_equity,Total_Common_Equity_/_Core_Tier_1,Total_Capital,Exchange_rate_from_original_currency,Gross_loans_&_advances_to_customers,Wholesale_funding_/_Total_funding_excluding_derivatives,Loans_&_advances_to_customers_/_Total_deposits_&_other_interest-bearing_liabilities,Financial_assets:_Available_for_sale_(AFS),Total_Earning_Assets,Unadjusted_leverage_ratio_(computed),Tier_1_Ratio,Interest_Expense,Tier_1_Capital,Long-term_borrowings_and_debt_securities_at_historical_cost_>_1_year,Impaired_/_Non-performing_loans_to_customers,Other_reserves,Interest_expense_on_customer_deposits,Interest_expense_/_average_interest_bearing_liabilities,Interest_expense_on_customer_deposits_/_Average_customer_deposits,Total_capital_adequacy_ratio,Interest_income_/_average_interest_earning_assets,Interest_income_on_bank_loans_(including_central_banks),Other_administrative_expenses,Interest_income_on_loans_/_Average_gross_customer_loans_&_advances,Other_interest_income,Effective_tax_rate,Total_net_trading_income_(losses)_and_fair_value_(FV)_gains_(losses),Savings_deposits,Total_equity_/_Risk-weighted_assets_(RWAs),Growth_in_net_customer_loans_&_advances,Net_loans_&_advances_to_customers,Net_gains_(losses)_on_other_securities_(including_FV_through_OCI),Customer_deposits_/_Total_funding_excluding_derivatives,Operating_revenue_after_impairments,Net_interest_income_(expenses)_/_Average_total_assets,Liquid_assets_(including_available_for_sale_&_held_to_maturity)_/_Total_assets,Impaired_loans_+_foreclosed_assets_/_gross_customer_loans_&_advances_+_foreclosed_assets,Financial_assets:_Held_to_maturity_(HTM),Risk_weighted_asset_intensity_(RWA_/_Total_Assets),Minimum_risk_assets,Gross_loans_&_advances_to_customers_/_Customer_deposits,Number_of_employees,Net_interest_margin_(average_interest_earning_assets),Loans_&_advances_to_customers_/_Deposits_&_short-term_funding,Profit_attributable_to_group_equity_holders,Interest_income_on_customer_loans_&_advances,Total_other_earning_assets,Total_equity_/_Total_liabilities_excluding_hybrid_capital_and_subordinated_liabilities,Capital_funds_/_Total_assets,Growth_in_gross_customer_loans_&advances,Capital_funds_/_Net_loans_&_advances_to_customers,Time_deposits,Non-interest_income_/_Operating_revenues,Net_interest_margin_(interest_earning_assets),rank_pre
4432,34814,28338,6476,7828,28216,0,20,6361,0,1.237241,0,1.468959,0.363904,85.106383,73.967369,0,0.216183,6476,6556,1,25831,0,91.263822,0,32364,18.155313,35.8067,48,6476,0,94,0,48,0.686462,0.686462,36.249,3.507779,7,12,4.164186,1,28.571429,0,6954,35.806701,-1.537109,25751,0,100,230,2.673456,22.485207,2.270742,0,51.950365,1467,91.547349,9,2.927478,91.263822,20,271,6613,22.852707,18.601712,-1.528667,25.148538,21262,0,2.877429,3
4433,20368,17554,2815,8713,17539,0,78,4510,0,11.067755,0,-1.408587,0,0,55.876866,0,-6.0746,2784,2917,1,11552,0,64.889674,3261,19152,12.773572,26.232,10,2784,0,0,31,10,0.226187,0.226187,27.4852,3.411971,16,27,5.071807,0,1.265823,0,3836,26.524074,-0.724006,11381,0,100,231,3.217393,42.777887,0,0,52.106245,4203,65.864645,5,3.217001,64.889674,78,147,7771,16.037145,13.820699,-0.713365,24.734206,5769,28.571429,3.446115,3
4434,27847,22420,5427,4782,22316,0,66,4456,0,4.894327,0,0.986401,0,0,46.170144,0,-15.367606,5427,5686,1,13691,0,57.613372,0,26606,18.915339,26.9036,16,5427,0,0,0,16,0.288236,0.288236,28.1876,3.170099,5,41,4.516791,1,0,0,2915,26.903629,0.831307,12857,0,100,243,3.276677,50.544044,0,9293,72.438683,9337,61.3506,7,2.961368,57.613372,66,154,13749,24.206066,19.488634,0.780272,42.210469,6696,6.584362,3.412764,3
4435,16253,14330,1923,10141,14306,0,37,2974,0,7.795628,0,-2.037249,3.634252,31.96347,36.645542,-0.033571,7.74831,1926,1996,1,6026,0,41.632881,6576,15506,11.745335,24.9644,8,1926,0,219,-3,8,0.220705,0.220705,25.8717,4.214379,8,21,11.078473,2,21.276596,0,3575,24.92547,2.319189,5956,0,100,192,4.433078,62.394635,3.634252,0,47.46816,7167,42.122186,6,4.036931,41.632881,37,165,9550,13.4194,11.831662,2.326371,32.28677,3258,5.208333,4.694957,1
4436,36431,30035,6396,3998,30010,0,17,3871,0,1.064579,0,1.295704,1.632147,80.701754,28.379677,0,0.515947,6396,6504,1,10477,0,34.451849,0,35990,17.556477,73.8312,43,6396,0,171,0,43,0.577579,0.577579,75.0779,2.161123,7,12,5.520868,0,10.526316,0,7444,73.831236,-3.247239,10339,0,100,217,2.32057,70.75842,1.632147,21780,23.779199,21907,34.911696,6,1.793818,34.451849,17,147,25651,21.295156,17.556477,-3.205839,61.862849,19733,3.225806,2.333982,1
4437,28429,23914,4515,9600,23777,0,100,253,0,8.875083,0,-3.30601,0.178756,510.526316,37.046678,0.101163,-1.727575,4517,4614,1,10629,0,44.294907,8715,27336,15.42902,32.1907,22,4517,0,19,-2,22,0.363179,0.369546,32.882,3.02267,1,28,6.915896,0,23.076923,8,7932,32.176454,-4.341508,10532,8,100,273,3.472246,61.331739,0.178756,7836,49.35805,17183,44.702864,6,2.779085,44.294907,100,188,16804,18.880154,15.88167,-4.398273,42.869351,7467,8.058608,3.672812,1
4438,27913,2175,25738,21808,636,0,683,0,0,10.784991,0,-5.820231,0,0,0,0,0,25481,25481,1,0,0,0,21800,21800,91.287214,179.04,0,25481,0,0,257,0,0,0,179.04,1.540905,0,1258,0,0,38.96336,0,636,180.845981,0,0,0,100,10200,1.820994,78.128471,0,0,50.986995,19506,0,96,1.540905,0,683,0,21800,1183.356322,92.207932,0,0,0,98.715686,2.40367,1
4439,22305,18806,3499,13106,18721,0,25,2380,155,2.884754,155,-3.541775,2.546024,64.102564,33.77718,0.078145,2.000572,2386,2511,1,7659,0.827947,40.243577,10420,20334,10.32811,21.1244,3,2386,0,195,48,3,0.062559,0.062812,22.2311,2.56,11,17,5.20969,2,0,0,6937,30.978309,-0.422945,7534,0,99.172053,172,2.870413,58.758126,2.546024,0,50.63887,10726,41.252828,6,2.513735,40.243577,25,100,12800,18.605764,15.687066,-0.493699,46.442793,4551,5.232558,3.206452,1
4440,33442,28686,4756,14948,28384,0,74,3575,0,6.314667,0,0.738018,3.146715,71.454219,51.740327,0.011532,3.343146,4587,4834,1,17701,0,60.9604,9431,30309,13.497131,23.315,43,4587,0,557,169,43,0.606402,0.607666,24.5705,3.34766,16,14,5.02811,2,15.909091,12,8278,24.174037,4.329213,17303,12,100,295,3.025255,44.698284,7.154075,0,58.830214,11373,62.362599,7,2.859696,60.9604,74,218,13006,16.579516,14.221637,4.22162,27.486563,13534,14.576271,3.325745,4
4441,22813,20420,2394,8984,20387,0,15,6753,0,2.514142,0,5.1872,0.204778,340.740741,57.392715,-0.022506,-2.715121,2364,2456,1,13185,0,64.222299,1988,21834,10.034808,23.2152,14,2364,0,27,30,14,0.282351,0.282351,24.1186,3.556438,20,30,5.04126,0,25,7,7177,23.509771,-2.188854,13093,7,100,209,3.289814,39.381055,4.270644,0,44.63683,2231,64.673566,8,3.303696,64.222299,15,168,8741,11.724374,10.494017,-2.152134,18.28458,4821,12.440191,3.352569,2
4442,23391,21073,2318,6590,21011,0,44,1684,0,7.665505,0,3.253289,0,0,49.412167,0,-5.349439,2299,2423,1,11682,0,55.009281,580,18771,9.598363,17.9245,22,2299,0,0,15,22,0.425779,0.425779,18.8913,3.321016,6,10,4.533711,0,22.807018,0,3067,18.072665,-5.200131,11558,0,100,176,2.779889,49.330939,0,4949,54.833055,9405,55.599448,4,2.919575,55.009281,44,136,7213,10.999858,9.909794,-5.147775,20.055373,7677,9.090909,3.409515,2
4443,23048,20492,2557,2031,20170,0,91,830,0,14.493331,0,-2.139946,0.95487,170.391061,80.011281,0.016174,-4.92765,2557,2731,1,18746,0,91.427863,0,21048,10.39093,18.5102,25,2557,0,179,0,25,0.49028,0.49028,19.7698,5.08899,1,32,5.865703,4,18.018018,0,4515,18.510207,2.205842,18441,0,100,278,4.412017,15.406977,1.297113,1520,59.935786,2721,92.94001,6,4.691921,91.427863,91,272,2607,12.478649,11.094238,2.152471,13.865842,9772,7.553957,4.944447,3
4444,24868,21382,3486,12889,21301,0,91,11549,0,10.579858,0,0.863922,0,0,35.394885,-0.085174,-5.966724,3486,3655,1,9010,0,41.322004,0,23197,13.631565,25.8127,25,3486,0,0,0,25,0.470732,0.470732,27.0641,3.277691,36,16,6.217727,0,1.086957,13,0,25.812662,-8.073107,8802,13,100,215,2.859278,63.274087,0,2846,54.30674,2958,42.298484,6,2.872036,41.322004,91,146,14395,16.303433,14.018015,-7.826087,39.604635,9091,17.674419,3.052119,1
4445,25355,23694,1661,10118,23689,0,17,8465,0,4.113733,0,39.190821,0,0,30.021692,-0.012804,-8.187839,1658,1768,1,7748,0,32.133058,63,23033,6.529873,18.7769,6,1658,0,0,3,6,0.119243,0.119243,20.0227,3.624729,4,41,7.272727,0,15,0,16599,18.810872,-1.615613,7612,0,100,225,3.763971,65.801617,1.36219,6566,34.825478,8219,32.707164,8,3.571817,32.133058,17,142,15421,7.010214,6.550976,-1.575203,21.820809,1052,8.888889,3.61138,2
4446,28296,26022,2273,6721,25928,0,27,6640,0,4.780876,0,3.972074,0.251042,401.886792,73.858496,0,-7.039155,2273,2417,1,21112,0,80.60398,0,27555,8.032938,19.8031,45,2273,0,53,0,45,0.708187,0.708187,21.0577,3.576663,19,4,4.17107,0,43.75,0,10071,19.803102,-1.77195,20899,0,100,175,2.824665,23.809019,1.043184,16,40.564037,97,81.425486,4,2.908821,80.60398,27,222,6656,8.734581,8.032938,-1.653701,10.876118,15857,1.010101,2.845219,3
4447,22340,19087,3253,7383,19073,0,38,6988,0,4.693531,0,5.154154,0.321449,269.69697,45.555058,0,-1.721488,3253,3342,1,10266,0,53.35815,0,21606,14.444938,41.8715,7,3253,0,33,0,7,0.150992,0.150992,43.0171,2.961995,8,11,5.913851,0,2.564103,0,9919,41.871541,-5.312616,10177,0,100,185,2.991855,52.927484,0.321449,4441,34.776186,4836,53.824778,9,2.84003,53.35815,38,156,11429,17.043014,14.561325,-5.268986,31.964233,4564,11.891892,3.01768,2
4448,22165,18739,3426,9264,18563,0,61,4057,0,7.194457,0,4.97774,0,0,54.094293,-0.017167,-3.823701,3387,3518,1,12121,0,64.590853,4016,20463,13.454358,23.4087,11,3387,0,0,39,11,0.243524,0.243524,24.3141,3.633708,12,18,5.390327,1,25.609756,0,3549,23.678209,8.496969,11990,0,100,198,3.475127,43.600271,0.090669,400,65.278592,5607,65.296558,4,3.432849,64.590853,61,157,8473,18.282726,15.456801,8.416816,28.573812,7669,5.050505,3.674925,1
4449,14557,839,13718,11187,0,0,1512,1608,0,44.971558,0,0.103149,0,0,0,0,0,13687,13687,1,0,0,0,9569,11177,94.023494,249.126,0,13687,0,0,31,0,0,0,249.126,0.378762,1,63,0,3,6.493506,0,0,249.690572,0,0,0,0,5484,0.384893,76.849626,0,0,37.741293,9516,0,12,0.378762,0,1512,0,11177,1635.041716,94.23645,0,0,0,99.744712,0.501029,3
4450,23224,20791,2433,5708,20732,0,32,3436,0,5.292537,0,1.864117,1.829122,67.434211,70.681192,0.006009,4.069051,2433,2622,1,16620,0,79.177117,1010,20861,10.476231,16.07,29,2433,0,304,0,29,0.564972,0.564972,17.3184,4.458992,3,29,5.552384,1,3.030303,0,4378,16.070013,-0.261271,16415,0,100,249,3.580818,24.578023,3.392741,0,65.191182,2272,80.165927,8,3.908733,79.177117,32,231,4446,11.702179,10.476231,-0.258057,14.821809,7521,17.928287,3.949954,2
4451,16948,13986,2962,6684,13961,0,23,3022,0,3.127124,0,-2.079963,0,0,45.987727,0.013274,-5.19919,2284,2377,1,7948,0,55.826946,2976,15040,12.992036,30.7361,14,2284,0,0,5,14,0.395466,0.395466,31.9876,3.112321,1,19,5.999867,3,0,0,1944,39.860046,11.918438,7794,0,100,156,2.94255,46.801983,0,1248,43.845882,4910,56.930019,6,2.801089,55.826946,23,113,7246,21.178321,17.476988,11.644894,38.003593,6805,19.230769,3.351064,3
